City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,barra de santo antonio,-9.4047,-35.5072,25.75,74,38,3.63,BR,1727878790
327,lata,40.1629,-8.3327,23.05,75,100,3.58,PT,1727878791
328,dalby,-27.1833,151.2667,14.46,76,96,8.29,AU,1727878792
329,zhob,31.3411,69.4481,29.15,13,0,4.53,PK,1727878794
330,preobrazheniye,42.9019,133.9064,8.17,62,0,2.5,RU,1727878795
331,castelo do piaui,-5.3222,-41.5525,37.1,24,9,2.36,BR,1727878796
332,nabire,-3.3667,135.4833,24.06,96,100,2.45,ID,1727878553
333,karmaskaly,54.3709,56.1837,11.95,38,3,3.86,RU,1727878798
334,laguna,38.421,-121.4238,18.87,63,0,1.54,US,1727878722
335,daru,-9.0763,143.2092,25.78,84,100,7.82,PG,1727878801
336,kavaratti,10.5669,72.642,28.36,74,87,0.73,IN,1727878802
337,filey,54.21,-0.2892,14.38,72,83,2.24,GB,1727878803
338,aykhal,66.0,111.5,-1.22,96,100,5.63,RU,1727878804
339,tchintabaraden,15.8969,5.7985,37.4,16,27,2.48,NE,1727878805
340,zhangzhou,24.5133,117.6556,20.5,78,100,1.97,CN,1727878806
341,iskateley,67.6803,53.1512,5.35,64,24,8.82,RU,1727878807
342,ta`u,-14.2336,-169.5144,26.18,77,91,7.48,AS,1727878808
343,baardheere,2.3446,42.2764,36.74,28,100,3.78,SO,1727878809
344,page,36.9147,-111.4558,20.62,20,0,0.91,US,1727878810
345,santa ana,33.7456,-117.8678,18.07,97,100,0.0,US,1727878811
346,mutuali,-14.8706,37.0044,31.84,33,55,5.8,MZ,1727878812
347,weining,26.85,104.2333,9.52,74,100,1.96,CN,1727878813
348,ginir,7.1333,40.7,18.86,72,65,3.38,ET,1727878814
349,greymouth,-42.4667,171.2,9.92,99,100,0.63,NZ,1727878815
350,temozon,20.8,-88.2167,26.05,91,91,1.58,MX,1727878816
351,vilyuysk,63.7553,121.6247,1.83,94,100,3.08,RU,1727878818
352,seosan,36.7817,126.4522,13.13,58,1,3.42,KR,1727878820
353,lerwick,60.1545,-1.1494,11.97,71,39,4.13,GB,1727878821
354,goure,13.9835,10.2704,36.35,21,34,2.31,NE,1727878822
355,iturama,-19.7281,-50.1956,36.91,16,9,3.64,BR,1727878823
356,baruun-urt,46.6806,113.2792,5.59,64,7,5.68,MN,1727878824
357,kura,11.7697,8.4303,34.62,32,82,4.78,NG,1727878825
358,callao,-12.0667,-77.15,18.73,82,100,2.57,PE,1727878826
359,tevriz,57.509,72.4042,4.17,73,6,2.19,RU,1727878827
360,saint-francois,46.4154,3.9054,14.82,67,100,2.06,FR,1727878828
361,baganga,7.5739,126.56,26.24,87,98,2.03,PH,1727878829
